userName,score,at,comment
Vinna Vinna,5,2024-05-16 06:56:36,Terimakasih JMO sangat membantu
Suryani Suryani,5,2024-05-16 06:50:38,coba dulu
Dwi gilang Ramadhan,5,2024-05-16 06:46:35,"Cepet, gampang"
Fishell User245,4,2024-05-16 06:44:33,baik
Warsih Ardy,3,2024-05-16 06:35:24,mantap jma
Auvar Hidayat,1,2024-05-16 06:34:09,sangat membantu
abdul abdul,5,2024-05-16 06:30:01,baik
Yonef Pri,5,2024-05-16 06:28:30,sjeeeje
Fiqri Kiki,1,2024-05-16 06:19:06,"Saya kasih bintang 1 karna aplikasi nya ga jelas, minta kode OTP lama banget keburu durasi abis, baru masuk aplikasi aja ""please wait"" Mulu lama banget . Pokoknya aplikasi bukan memudahkan malah mempersulit"
Jemmy Jefry,4,2024-05-16 06:17:37,aplikasinya bagus
Muslih Nasruloh,5,2024-05-16 06:12:15,Tolong jangan eror
Agung Susanto,5,2024-05-16 06:09:56,Terimakasih Sangat bagus dan membantu
Bagus Rizky,5,2024-05-16 06:08:57,Semoga klaim manfaat JHT bisa langsung cair dan dapat digunakan dngn sebaik²nya
Deni Hadiansah,5,2024-05-16 06:02:04,jmo markotop 👍👍👍
Taufiq,4,2024-05-16 06:01:44,lebih cepat
Ridwan Duha,5,2024-05-16 05:59:22,Pelayanan sangat memuaskan
fitri yati,5,2024-05-16 05:57:20,seneng bisa cek saldo pake aplikasi ini
Kintap 123,5,2024-05-16 05:57:16,mantap
Irwan Iwan,5,2024-05-16 05:55:06,"data akurat dan lengkap , coba sj APK nya"
Aprilia Tambun,5,2024-05-16 05:47:42,terima kasih jmo
Mamun,5,2024-05-16 05:47:11,Sy lupa nomer kpj mau daftar pertama kali sdh punya jamsosotek dahulu tp kartu nya hilang bangaiman cara nya mengetahui nomer kpj
Dewi Rezeki nya,5,2024-05-16 05:36:41,bagus
Rahman dishub Rahman,5,2024-05-16 05:34:16,Mantap
dicky suherland,5,2024-05-16 05:32:01,alhamdulillah sangat membantu sekali aplikasi JMO MOBILE
Megi Saputra,4,2024-05-16 05:28:13,sangat membantu kami cek saldo
VINI ANDRIYANA,5,2024-05-16 05:26:30,Bagus
UMI I.S.,5,2024-05-16 05:25:37,"Terima kasih aplikasi JMO Ketenagakerjaan sudah membantu memudahkan pengajuan klaim JHT . Tidak perlu pergi kemanapun, klaim sudah beres lewat JMO Ketenagakerjaan. PK.11.05 WIB.Pengkinian Data kelar, 25 menit kemudian dilanjutkan Pengajuan Klaim JHT.Pk.11.31 / tgl 16 Mei 2024 Pembayaran Klaim sudah masuk rekening. Yang cukup lama ngumpulkan data/berkas Semoga ke depan lebih baik lagi pelayanannya."
Nur Alif,5,2024-05-16 05:22:16,bagus
Abdul Malik,5,2024-05-16 05:16:00,ok
yanggi frayoga,5,2024-05-16 05:15:30,semoga tetap bagus
Faisal Lubis,5,2024-05-16 05:11:37,aplikasi nya bagus
Jay,4,2024-05-16 05:10:39,Oke
susiana susi,5,2024-05-16 05:04:25,Oke
heri purwanto,5,2024-05-16 05:02:17,kenapa apps ya minta di perbarui tapi sama juga gak mau di buka
Ubend Ini,5,2024-05-16 05:02:03,sangat baik
Meiniwita Siregar,5,2024-05-16 05:01:31,bagus
MUHAMMAD TAUFIK,1,2024-05-16 05:01:24,Lumayanlah
Rahman Dzaki,5,2024-05-16 04:51:56,sangat bermanfaat sekali
John H3drk,5,2024-05-16 04:44:47,goodjob
Febriana Trihartanto,5,2024-05-16 04:40:11,Sangat membantu
K_Rot'z K X Zepsss,5,2024-05-16 04:33:13,Mantap
Idris Bin Muallim Masud,5,2024-05-16 04:31:08,cepat dan mudah
Ghazali Pake Z,5,2024-05-16 04:28:42,woww
Tantin Tantin,4,2024-05-16 04:25:16,Baik
Gusti lapandewa,5,2024-05-16 04:24:59,good
Rony Ary,4,2024-05-16 04:23:09,sangat membantu untuk para pekerja
Bayu Cippe,5,2024-05-16 04:20:53,Sangat baik
Saura Pebrianti,1,2024-05-16 04:20:46,Sering bgt hrs update
Toko Sembako Uni Linda,5,2024-05-16 04:20:10,"alhamdulillah, klaim mudah dan lancar"
Ayu Sriasih,4,2024-05-16 04:10:54,Sdh bagus
Ley Suhendar,5,2024-05-16 04:08:34,Sangat membantu memudah kan pengecekan atau pencairan
hariyani Magdalena,5,2024-05-16 04:08:27,very good
mas ichsan,5,2024-05-16 04:06:52,Sangar membantu
mujaid cipinang,5,2024-05-16 03:55:34,top
Safrizal WGU,5,2024-05-16 03:48:02,sangat puAs
Dindin Nurdyanto,5,2024-05-16 03:47:13,"sangat membantu sekali dlm mengecek saldo kita yg trtera dlm brtahun2 lamanya ini ketahuan brp nominalnya saldo jht kita slma ini,mksh sdh membantu"
Ainun Nisa,5,2024-05-16 03:47:04,Mempermudah
Dhiga Pranata,5,2024-05-16 03:45:25,aplikasi jmo sangat bagus dan bermutu
Hans Daniel,5,2024-05-16 03:41:14,bagus
Sugi Harti,4,2024-05-16 03:39:28,bagus dan membantu
papa keng,5,2024-05-16 03:34:00,"Gak ribet, mudah dimengerti"
Nouraherlinakhalisa Vivo,5,2024-05-16 03:31:39,sangat menantu
Ilham Bayu,5,2024-05-16 03:27:23,perbaikan pada saat biometrik foto ya soalnya susah banget kadang resolusinya
Arby Dewa lucky,5,2024-05-16 03:27:16,mantap
Arno Wijaya,5,2024-05-16 03:18:42,baik
Uki Sugi,5,2024-05-16 03:16:25,Aplikasi keren mudah digunakan .
Erul Anam,5,2024-05-16 03:15:23,mksh jmo
Indra Uye,5,2024-05-16 03:15:20,Sangat membantu
Dandi Putra,5,2024-05-16 03:03:08,👍
Ricky Apriansyah,3,2024-05-16 03:01:54,"Sekarang mau ngambil duit sendiri aja ribet yaaa, ga kaya dulu. abis pengikian data dan ngisi beberapa doang langsung cair, sekarang mah nunggu verifikasi dulu mana sebulan verifikasi online nya aneh-_-"
Abun Naya,5,2024-05-16 02:58:22,sangat keren
Abilz Ghaem,5,2024-05-16 02:52:09,baik
Mustajib Maulana Wafdullah,5,2024-05-16 02:48:26,Luar biasa dan sangat membantu
hanan permana,5,2024-05-16 02:43:24,hebat
Anita Febriana,4,2024-05-16 02:41:05,ok
Ryan Shendher,4,2024-05-16 02:36:31,Silahkan dicoba
Ari Angga,5,2024-05-16 02:31:38,akurat
Volt3 Volume,5,2024-05-16 02:31:12,Bagus sekali
kholifah firmaningsih,5,2024-05-16 02:26:34,good
Luthfi Rivaldi,5,2024-05-16 02:24:06,Bismillah
Fendi Ferdiansyah,5,2024-05-16 02:23:55,baik
Adityaa07,5,2024-05-16 02:14:33,Josss
Pratiwi Tinidyn,3,2024-05-16 02:12:33,"Cuma mau daftar akun aja JD bingung mau pilih yang mana, pu/bpu, soalnya gak niat aktifkan lagi BPJS ketenagakerjaan, maksudnya mau cairkan online makanya bikin akun malah gak bisa daftar bikin akun yg muncul opsi itu aja pu, bpu, pmi"
Mesra Yadi,4,2024-05-16 02:08:03,Baik
Kael Mikael,5,2024-05-16 02:07:39,Menarik
Rindi Atika,5,2024-05-16 02:05:57,"Aplikasi yg paling bestttt cepat dan tepat , terimakasih 😊🙏🏻🙏🏻"
Prima erwin Septiawan,1,2024-05-16 02:05:27,"makin ribet aja pas ada fitur baru LAPAK ASIK, makin memperlambat pengklaiman JHT"
Muhammad Jenal,5,2024-05-16 02:05:23,luar biasa sangat bagus dan cepat semoga terus membantu dan tidak di persulit amin
Oky Kurniawan,5,2024-05-16 02:01:48,Sangat Membantu
Aris Siswanto,5,2024-05-16 01:49:07,sangat membantu
Agung Julip,5,2024-05-16 01:43:25,sangat good
Muri Yanto,5,2024-05-16 01:36:18,sangat membantu
Fir Daus,5,2024-05-16 01:33:38,Pelayanan kantor BPJS ketenagakerjaan sangat baik.. Dan security yg bertugas sangat ramah.. Terimakasih
Darmawati Loi,5,2024-05-16 01:31:57,aplikasi sangat membantu
Hairul Supandi,4,2024-05-16 01:31:15,terbaik
Rahmat “Erik” Rudiana,5,2024-05-16 01:26:20,sangat mudah dan gampang
Navin Nasution,5,2024-05-16 01:25:47,good
Abdul Yunus,1,2024-05-16 01:13:45,foto biometrik selalu failed on server
chairil Tahir,5,2024-05-16 00:59:01,good
Agung Teja,4,2024-05-16 00:58:00,Sangat membantu
Rizalalfyandizaldi0001 Alfyandi,3,2024-05-16 00:45:07,3 dulu
Jajang Kurniawan,5,2024-05-16 00:38:16,Aplikasi bagus
dede ajah,4,2024-05-16 00:31:20,sangat bermanfaat
Putra Aja,4,2024-05-16 00:06:52,agak lelet
Sri Utami,5,2024-05-15 23:50:05,Bagus cepat cair
richard sianturi,5,2024-05-15 23:44:56,bagus dan bermanfaat aplikasinya bisa check uang bpjs ketenagakerjaan
Novi Setyowati,5,2024-05-15 23:17:26,mantap
adi suseno,1,2024-05-15 23:05:42,"Kenapa harus memasukkan nomor kepesertaan BPJS yg lain, padahal tidak aktif..ya kami ya bingung, gimana ngisinya,sudah tidak ada kartunya,masa perlindungan sama tanggal pada saat lihat saldo juga tidak sama,karena keterlambatan pembayaran,jadi tambah bingung"
Nur Winah,5,2024-05-15 22:50:43,sangat membantu
Sore Hari,4,2024-05-15 22:47:52,Bagus
Satria Wanputra,5,2024-05-15 22:24:25,Sangat bagus
Gigi Digi,1,2024-05-15 22:23:38,Pelayanan agentnya buruk banget. Menjijikan. Di bayar buat tidur kali ya
Susanto Santos,5,2024-05-15 22:20:19,ok
kang ayim Babakan,5,2024-05-15 22:17:34,cukup membantu dengan aplikasi JMO ini bisa ngecek kapan dan dimana aja mksh JMO
Ahmad Toif,5,2024-05-15 21:42:48,"JMO Luar Biasa, Alhamdulillaah."
Khozinatur Rohmah,4,2024-05-15 21:18:35,pelayanan bagus cepat ramah
Senja 90,5,2024-05-15 20:24:56,🌟🖐🏻
Akho Mandaa,5,2024-05-15 19:09:05,baik 👍👍👍👍
Wa Teka03,2,2024-05-15 18:43:57,error terus
Jenal Abidin,5,2024-05-15 17:44:54,ok
M. Amir,5,2024-05-15 17:31:18,mantap
Kiki BL,5,2024-05-15 17:03:44,good
Masri Baseng,5,2024-05-15 16:50:16,ok
Saeful Amri,5,2024-05-15 16:38:31,good
Wahyu Wahyu,5,2024-05-15 16:31:36,Canggih Bintang Lima-{Jenderal Besar}•
surya 03,5,2024-05-15 16:25:00,puas banget
Yahdim DMI,5,2024-05-15 15:41:23,terbaik
Melbi Barat,5,2024-05-15 15:33:06,bagus
Anis Susanti,5,2024-05-15 15:08:33,sangat bagus
Pri Mamonto,5,2024-05-15 14:59:55,Sangat membantu
Rodhy Richy,5,2024-05-15 14:40:23,terima kasih sangat baik untuk tabungan masa depan
Maan Maung,4,2024-05-15 14:29:40,bagus
Mubarak Satrio,1,2024-05-15 14:29:25,"Kenapa saya tidak bisa mendaftar, padahal saya sudah mengisi formulir pendaftaran dengan benar, tapi kenapa gk bisa mendaftar"
Suhe Hendar,5,2024-05-15 14:26:28,okeh
Satria Agung,5,2024-05-15 14:21:40,mantul
All Im,5,2024-05-15 14:17:41,top
Liharman Siraiit,5,2024-05-15 14:16:39,good
atang nova,5,2024-05-15 14:11:31,Sangat membantu sekali disaat ekonomi lagi sulit
Zaki Harisandi,5,2024-05-15 14:10:18,👍👍
Wiyono Yono,5,2024-05-15 14:04:03,cucok
Okta Vianus,5,2024-05-15 13:53:25,bagus banget
Asep Antoni,5,2024-05-15 13:50:48,memudahkan
Adwean Saleky,5,2024-05-15 13:36:31,Baik
yudhi fachrudin,5,2024-05-15 13:29:28,Good
Riska Winner,5,2024-05-15 13:26:38,Bagus hanya bintang yang bisa komentar
Sarmadin,5,2024-05-15 13:23:57,sangat menyukai pelayanan JMO
Jogo Boyo,5,2024-05-15 13:15:11,mantap
Indra Adi Syahputra,5,2024-05-15 13:08:25,OK
Gito Gito,4,2024-05-15 13:03:11,kurang²i pembaharuan !
Muhammad Amin,5,2024-05-15 12:56:39,sangat baik
Zu Habib,5,2024-05-15 12:53:17,baik
TUNING RAHAYU,4,2024-05-15 12:41:45,pengisian tanggal lahir ketika mendaftar terlalu manual dan gak efektif
Andi Nova,5,2024-05-15 12:41:10,Bagus bangt aplikasi nya ini saya kash bintang 5
Nugroho Lah,5,2024-05-15 12:41:06,sy Download trs sy buka gagal mulu
Sapri Sapri,5,2024-05-15 12:37:55,mantap
Euis Nuryani,5,2024-05-15 12:36:45,Mantappp
Winda Achmad,1,2024-05-15 12:36:20,Pembaharuan terus menerus
Irvan Fauji siregar,1,2024-05-15 12:36:02,Knp saya ngak bisa perbarui aplikasi jmo mobile
Dedi Neni,4,2024-05-15 12:32:05,ok
Wisnu Wicara,5,2024-05-15 12:30:20,luar biasa
BRO CHANEL,5,2024-05-15 12:29:24,👍👍👍👍👍
chris oktavianda,5,2024-05-15 12:27:09,🤍
Hidayat Ayat,5,2024-05-15 12:24:23,sangat bagus
Denden Iskandar,5,2024-05-15 12:22:10,good
Nurul Aulia,5,2024-05-15 12:15:59,👍🏻👍🏻👍🏻
Genta loka,5,2024-05-15 12:14:18,baik
dedi syahputra,1,2024-05-15 12:09:53,"Aplikasinya sangat tidak membantu, justru mempersulit untuk pengklaiman, suwa foto selalu gagal karena katanya tidak identik dengan KTP, harusnya cukup suwa Selfi poto dengan KTP saja, justru lebih mudah aplikasi pinjol dari pada aplikasi milik BPJS, BPJS payah, mosok kalah dengan aplikasi pinjol, dan CS nya sangat tidak ramah, khusus untuk cabang tapak tuan Aceh Selatan 👎👎"
Muhammad Ishaq,5,2024-05-15 12:00:43,terbaik
Panca Roba,4,2024-05-15 12:00:10,bagus
Andi Aril,5,2024-05-15 11:55:49,benar benar membantu Buat keluarga
Redmi Jatibarang,4,2024-05-15 11:54:31,Oke
TUTI SUGIYANTI,5,2024-05-15 11:52:51,"Alhamdulillah, aplikasi sangat membantu, efisien."
Ripal Somantri,5,2024-05-15 11:51:08,mantap
Rafi udin,5,2024-05-15 11:50:57,mantap....pelayanannya
Zupri KZ,5,2024-05-15 11:46:00,ok
Bang Hen,3,2024-05-15 11:35:38,masih mencoba
Basuki Luki,5,2024-05-15 11:18:26,super
Budi Santoso,1,2024-05-15 11:14:22,saldo bpjs non aktif tapi ga bisa di tarik mohon maaf terus aneh
masjolodong cah ndeso,5,2024-05-15 11:06:21,sangat membantu
Andi Kurniawan,5,2024-05-15 11:05:00,Bagus
Elis Eliis,1,2024-05-15 10:55:00,Tambah ribett ngebug terusan susah mau buka pembaruan terusan tapi susah dibuka
JOSUA AFRILDO TELAUMBANUA,5,2024-05-15 10:51:16,mantap memudahkan
Paidjo Uyee,5,2024-05-15 10:47:51,good
Lia Quenn,1,2024-05-15 10:47:02,Di suruh update tapi pas mau di update ga ada tombol update nya👎
arvino Rorr,5,2024-05-15 10:46:48,Bgus
cornelius uwak,5,2024-05-15 10:24:48,Bagus
Yosep Banga'Allo,5,2024-05-15 10:17:58,ok
Dian Atmoko,5,2024-05-15 10:11:10,Mantap
Riscky Ramdhani,5,2024-05-15 10:04:07,mantap bngt
Usman Wijaya,5,2024-05-15 09:47:54,ok ini akun saya trmks.
Aj Bangor,5,2024-05-15 09:30:14,Mantap
Hermanazmi,5,2024-05-15 09:15:06,baik
Masdi Saputra,5,2024-05-15 08:55:08,Bagus
Azka Neiska,5,2024-05-15 08:53:27,Joss pokoke
Jemiadi GSE CGK,5,2024-05-15 08:52:28,lebih baik dan praktis
AZKA KHAIRI YUSUF,5,2024-05-15 08:46:23,Ok banget
